we01_id_wezla,we02_tytul_do_wezla,we03_id_podmiotu_obcego,we04_terc,we05_simc,we06_ulic,we07_nr_porzadkowy,we08_szerokosc,we09_dlugosc,we10_medium_transmisyjne,we11_bsa,we12_technologia_dostepowa,we13_uslugi_transmisji_danych,we14_mozliwosc_zwiekszenia_liczby_interfejsow,we15_finansowanie_publ,we16_numery_projektow_publ,we17_infrastruktura_o_duzym_znaczeniu,we18_typ_interfejsu,we19_udostepnianie_ethernet
W79,Węzeł własny,,2205032,0169590,11139,8,54.4178,18.3021,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W80,Węzeł własny,,2215092,0175337,20598,2,54.4374,18.2524,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W81,Węzeł własny,,2215092,0175254,01124,10,54.4488,18.2590,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W82,Węzeł własny,,2215092,0175337,05441,11,54.4399,18.2670,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W83,Węzeł własny,,2205032,0169489,25314,54,54.4174,18.3311,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W84,Węzeł własny,,2205032,0169845,08574,88,54.4136,18.3406,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W85,Węzeł własny,,2205085,0177282,,39,54.4057,18.3646,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W86,Węzeł własny,,2205085,0177313,47019,24,54.3868,18.3623,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W87,Węzeł własny,,2205085,0177313,05441,32,54.3810,18.3622,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W88,Węzeł własny,,2205085,0177247,20254,26,54.3380,18.4342,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
