ua01_id_punktu_adresowego,ua02_id_pe,ua03_id_po,ua04_terc,ua05_simc,ua06_ulic,ua07_nr_porzadkowy,ua08_szerokosc,ua09_dlugosc,ua10_medium_dochodzace_do_pa,ua11_technologia_dostepowa,ua12_instalacja_telekom,ua13_medium_instalacji_budynku,ua14_technologia_dostepowa,ua15_identyfikacja_uslugi,ua16_dostep_stacjonarny,ua17_dostep_stacjonarny_bezprzewodowy,ua18_telewizja_cyfrowa,ua19_radio,ua20_usluga_telefoniczna,ua21_predkosc_uslugi_td,ua22_liczba_uzytkownikow_uslugi_td
"AD0050","P0050","","2205085","0177247","13706","26","54.3544","18.4245","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W50_3","Nie","Tak","Nie","Nie","Nie","02","1"
"AD0051","P0051","","2205085","0177276","20254","21","54.3610","18.3680","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W51_1","Nie","Tak","Nie","Nie","Nie","02","2"
"AD0052","P0051","","2205085","0177276","20254","21","54.3610","18.3680","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W51_2","Nie","Tak","Nie","Nie","Nie","03","3"
"AD0053","P0051","","2205085","0177276","20254","21","54.3610","18.3680","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W51_3","Nie","Tak","Nie","Nie","Nie","01","1"
"AD0054","P0053","","2205085","0177276","15590","3A","54.3698","18.3553","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W53_1","Nie","Tak","Nie","Nie","Nie","02","1"
"AD0055","P0053","","2205085","0177276","15590","3A","54.3698","18.3553","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W53_2","Nie","Tak","Nie","Nie","Nie","03","3"
"AD0056","P0053","","2205085","0177276","15590","3A","54.3698","18.3553","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W53_3","Nie","Tak","Nie","Nie","Nie","04","1"
"AD0057","P0055","","2205085","0177388","","193","54.2849","18.3293","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W55_1","Nie","Tak","Nie","Nie","Nie","02","1"
"AD0058","P0056","","2205085","0177454","20254","43","54.2916","18.3567","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W56_1","Nie","Tak","Nie","Nie","Nie","02","3"
"AD0059","P0058","","2205025","0163245","","3","54.3445","18.2345","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W58_1","Nie","Tak","Nie","Nie","Nie","03","3"
"AD0060","P0059","","2205085","0177402","07535","12","54.3017","18.3989","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W59_1","Nie","Tak","Nie","Nie","Nie","03","1"
"AD0061","P0060","","2205085","0177247","03572","23","54.3499","18.4569","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W60_1","Nie","Tak","Nie","Nie","Nie","01","1"
"AD0062","P0061","","2261011","0933016","11110","16","54.3451","18.5073","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W61_1","Nie","Tak","Nie","Nie","Nie","04","1"
"AD0063","P0061","","2261011","0933016","11110","16","54.3451","18.5073","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W61_2","Nie","Tak","Nie","Nie","Nie","03","2"
"AD0064","P0061","","2261011","0933016","11110","16","54.3451","18.5073","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W61_3","Nie","Tak","Nie","Nie","Nie","02","1"
"AD0065","P0064","","2261011","0933016","39822","16","54.3486","18.4718","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W64_1","Nie","Tak","Nie","Nie","Nie","03","1"
"AD0066","P0065","","2205085","0177514","31475","15C","54.3466","18.3257","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W65_1","Nie","Tak","Nie","Nie","Nie","03","1"
"AD0067","P0065","","2205085","0177514","31475","15C","54.3466","18.3257","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W65_2","Nie","Tak","Nie","Nie","Nie","04","1"
"AD0068","P0068","","2205032","0169680","20683","7","54.3822","18.2894","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W68_1","Nie","Tak","Nie","Nie","Nie","01","1"
"AD0069","P0068","","2205032","0169680","20683","7","54.3822","18.2894","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W68_2","Nie","Tak","Nie","Nie","Nie","03","1"
"AD0070","P0068","","2205032","0169680","20683","7","54.3822","18.2894","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W68_3","Nie","Tak","Nie","Nie","Nie","05","1"
"AD0071","P0069","","2205032","0169680","10562","5","54.3737","18.2840","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W69_1","Nie","Tak","Nie","Nie","Nie","04","1"
"AD0072","P0070","","2205085","1014464","","22","54.3359","18.4074","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W70_1","Nie","Tak","Nie","Nie","Nie","02","1"
"AD0073","P0071","","2205032","0169874","42307","2","54.3931","18.2551","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W71_1","Nie","Tak","Nie","Nie","Nie","03","1"
"AD0074","P0071","","2205032","0169874","42307","2","54.3931","18.2551","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W71_2","Nie","Tak","Nie","Nie","Nie","02","1"
"AD0075","P0072","","2205032","0169756","07535","37","54.3577","18.3023","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W72_1","Nie","Tak","Nie","Nie","Nie","03","1"
"AD0076","P0074","","2205032","0169526","14372","25","54.3996","18.2270","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W74_1","Nie","Tak","Nie","Nie","Nie","03","1"
"AD0077","P0076","","2215092","0175343","04446","1","54.4312","18.2840","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W76_1","Nie","Tak","Nie","Nie","Nie","02","1"
"AD0078","P0077","","2205032","0169489","05431","8","54.4136","18.3145","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W77_1","Nie","Tak","Nie","Nie","Nie","02","1"
"AD0079","P0077","","2205032","0169489","05431","8","54.4136","18.3145","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W77_2","Nie","Tak","Nie","Nie","Nie","03","1"
"AD0080","P0077","","2205032","0169489","05431","8","54.4136","18.3145","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W77_3","Nie","Tak","Nie","Nie","Nie","04","1"
"AD0081","P0084","","2205032","0169845","08574","88","54.4136","18.3406","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W84_1","Nie","Tak","Nie","Nie","Nie","03","1"
"AD0082","P0085","","2205085","0177282","","39","54.4057","18.3646","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W85_1","Nie","Tak","Nie","Nie","Nie","03","1"
"AD0083","P0086","","2205085","0177313","47019","24","54.3868","18.3623","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W86_1","Nie","Tak","Nie","Nie","Nie","03","2"
"AD0084","P0086","","2205085","0177313","47019","24","54.3868","18.3623","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W86_2","Nie","Tak","Nie","Nie","Nie","04","1"
"AD0085","P0087","","2205085","0177313","05441","32","54.3810","18.3622","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W87_1","Nie","Tak","Nie","Nie","Nie","03","2"
"AD0086","P0091","","2205085","0177320","18337","40B","54.3183","18.4257","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W91_1","Nie","Tak","Nie","Nie","Nie","04","1"
