pe01_id_pe,pe02_typ_pe,pe03_id_wezla,pe04_pdu,pe05_terc,pe06_simc,pe07_ulic,pe08_nr_porzadkowy,pe09_szerokosc,pe10_dlugosc,pe11_medium_transmisyjne,pe12_technologia_dostepowa,pe13_mozliwosc_swiadczenia_uslug,pe14_finansowanie_publ,pe15_numery_projektow_publ
PE_1_W77,04,W77,Tak,2205032,0169489,05431,8,54.4136,18.3145,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W78,04,W78,Tak,2205032,0169851,20254,7,54.4055,18.3475,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W79,04,W79,Tak,2205032,0169590,11139,8,54.4178,18.3021,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W80,04,W80,Tak,2215092,0175337,20598,2,54.4374,18.2524,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W81,04,W81,Tak,2215092,0175254,01124,10,54.4488,18.2590,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W82,04,W82,Tak,2215092,0175337,05441,11,54.4399,18.2670,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W83,04,W83,Tak,2205032,0169489,25314,54,54.4174,18.3311,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W84,04,W84,Tak,2205032,0169845,08574,88,54.4136,18.3406,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W85,04,W85,Tak,2205085,0177282,,39,54.4057,18.3646,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W86,04,W86,Tak,2205085,0177313,47019,24,54.3868,18.3623,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W87,04,W87,Tak,2205085,0177313,05441,32,54.3810,18.3622,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W88,04,W88,Tak,2205085,0177247,20254,26,54.3380,18.4342,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W89,04,W89,Tak,2205085,0177460,53638,46,54.3191,18.4690,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W90,04,W90,Tak,2205084,0935127,02648,17,54.3515,18.3601,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W91,04,W91,Tak,2205085,0177320,18337,40B,54.3183,18.4257,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W92,04,W92,Tak,2205085,0177514,09223,2,54.3446,18.3784,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W93,04,W93,Tak,2205085,0177402,20254,28B,54.3149,18.3780,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W94,04,W94,Tak,2205085,1014464,,15B,54.3336,18.4038,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W95,04,W95,Tak,2215092,0175343,07879,8,54.4481,18.2863,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W96,04,W96,Tak,2205062,0174125,19335,4,54.2102,17.9380,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W97,04,W97,Tak,2205032,0169584,21271,52,54.4194,18.2777,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W98,04,W98,Tak,2215092,0175290,22977,3,54.4640,18.3256,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W99,04,W99,Tak,2215092,0990971,13283,9,54.4601,18.2853,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W100,04,W100,Tak,2261011,0933016,05272,23,54.4262,18.4862,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W101,04,W101,Tak,2205032,0169762,,55,54.3876,18.2213,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W102,04,W102,Tak,2205085,0991380,41348,21,54.3179,18.3374,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W103,04,W103,Tak,2205025,0163699,,28,54.3378,18.2907,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W104,04,W104,Tak,2205085,0177454,48918,32,54.3012,18.3638,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W105,04,W105,Tak,2205032,0169868,08171,33,54.4233,18.3584,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W106,04,W106,Tak,2205032,0169868,02566,14B,54.4190,18.3512,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W107,04,W107,Tak,2205085,0177477,05441,29A,54.4195,18.3767,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W108,04,W108,Tak,2215092,0175461,20998,14,54.4395,18.3496,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W109,04,W109,Tak,2205085,0177112,18049,179,54.3924,18.3829,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W110,04,W110,Tak,2205085,0177477,14834,3,54.4293,18.3887,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W111,04,W111,Tak,2205032,0169868,24870,23,54.4167,18.3577,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W112,04,W112,Tak,2205085,0177112,13706,4,54.3931,18.3937,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W113,04,W113,Tak,2205032,0169489,16742,9,54.4198,18.3190,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
