pe01_id_pe,pe02_typ_pe,pe03_id_wezla,pe04_pdu,pe05_terc,pe06_simc,pe07_ulic,pe08_nr_porzadkowy,pe09_szerokosc,pe10_dlugosc,pe11_medium_transmisyjne,pe12_technologia_dostepowa,pe13_mozliwosc_swiadczenia_uslug,pe14_finansowanie_publ,pe15_numery_projektow_publ
"P0072","04","WW_W0072","Tak","2205032","0169756","07535","37","54.3577","18.3023","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0073","04","WW_W0073","Tak","2205032","0169874","03839","77","54.3874","18.2403","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0074","04","WW_W0074","Tak","2205032","0169526","14372","25","54.3996","18.2270","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0075","04","WW_W0075","Tak","2205032","0169650","07380","2","54.4173","18.2032","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0076","04","WW_W0076","Tak","2215092","0175343","04446","1","54.4312","18.2840","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0077","04","WW_W0077","Tak","2205032","0169489","05431","8","54.4136","18.3145","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0078","04","WW_W0078","Tak","2205032","0169851","20254","7","54.4055","18.3475","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0079","04","WW_W0079","Tak","2205032","0169590","11139","8","54.4178","18.3021","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0080","04","WW_W0080","Tak","2215092","0175337","20598","2","54.4374","18.2524","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0081","04","WW_W0081","Tak","2215092","0175254","01124","10","54.4488","18.2590","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0082","04","WW_W0082","Tak","2215092","0175337","05441","11","54.4399","18.2670","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0083","04","WW_W0083","Tak","2205032","0169489","25314","54","54.4174","18.3311","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0084","04","WW_W0084","Tak","2205032","0169845","08574","88","54.4136","18.3406","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0085","04","WW_W0085","Tak","2205085","0177282","","39","54.4057","18.3646","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0086","04","WW_W0086","Tak","2205085","0177313","47019","24","54.3868","18.3623","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0087","04","WW_W0087","Tak","2205085","0177313","05441","32","54.3810","18.3622","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0088","04","WW_W0088","Tak","2205085","0177247","20254","26","54.3380","18.4342","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0089","04","WW_W0089","Tak","2205085","0177460","53638","46","54.3191","18.4690","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0090","04","WW_W0090","Tak","2205084","0935127","02648","17","54.3515","18.3601","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0091","04","WW_W0091","Tak","2205085","0177320","18337","40B","54.3183","18.4257","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0092","04","WW_W0092","Tak","2205085","0177514","09223","2","54.3446","18.3784","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0093","04","WW_W0093","Tak","2205085","0177402","20254","28B","54.3149","18.3780","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0094","04","WW_W0094","Tak","2205085","1014464","","15B","54.3336","18.4038","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0095","04","WW_W0095","Tak","2215092","0175343","07879","8","54.4481","18.2863","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0096","04","WW_W0096","Tak","2205062","0174125","19335","4","54.2102","17.9380","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0097","04","WW_W0097","Tak","2205032","0169584","21271","52","54.4194","18.2777","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0098","04","WW_W0098","Tak","2215092","0175290","22977","3","54.4640","18.3256","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0099","04","WW_W0099","Tak","2215092","0990971","13283","9","54.4601","18.2853","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0100","04","WW_W0100","Tak","2261011","0933016","05272","23","54.4262","18.4862","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0101","04","WW_W0101","Tak","2205032","0169762","","55","54.3876","18.2213","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0102","04","WW_W0102","Tak","2205085","0991380","41348","21","54.3179","18.3374","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0103","04","WW_W0103","Tak","2205025","0163699","","28","54.3378","18.2907","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0104","04","WW_W0104","Tak","2205085","0177454","48918","32","54.3012","18.3638","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0105","04","WW_W0105","Tak","2205032","0169868","08171","33","54.4233","18.3584","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0106","04","WW_W0106","Tak","2205032","0169868","02566","14B","54.4190","18.3512","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0107","04","WW_W0107","Tak","2205085","0177477","05441","29A","54.4195","18.3767","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0108","04","WW_W0108","Tak","2215092","0175461","20998","14","54.4395","18.3496","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0109","04","WW_W0109","Tak","2205085","0177112","18049","179","54.3924","18.3829","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0110","04","WW_W0110","Tak","2205085","0177477","14834","3","54.4293","18.3887","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0111","04","WW_W0111","Tak","2205032","0169868","24870","23","54.4167","18.3577","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0112","04","WW_W0112","Tak","2205085","0177112","13706","4","54.3931","18.3937","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0113","04","WW_W0113","Tak","2205032","0169489","16742","9","54.4198","18.3190","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0114","04","WW_W0114","Tak","2261011","0933016","07427","77","54.4245","18.4754","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0115","04","WW_W0115","Tak","2205032","0169845","17798","48","54.3994","18.3317","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0116","04","WW_W0116","Tak","2261011","0933016","10045","12","54.4407","18.4603","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0117","04","WW_W0117","Tak","2261011","0933016","29213","23","54.4219","18.4686","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0118","04","WW_W0118","Tak","2215092","0175290","07290","3","54.4525","18.3288","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0119","04","WW_W0119","Tak","2204052","0170104","10898","16","54.2309","18.3812","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0120","04","WW_W0120","Tak","2204052","0169992","18403","24","54.2499","18.3413","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0121","04","WW_W0121","Tak","2204052","0169928","11139","9","54.2468","18.3810","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0122","04","WW_W0122","Tak","2204052","0170110","08194","2A","54.2137","18.3352","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
